username,project,package,complextype,NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,number_package_visibility_attributes,num_final_attributes,num_static_attributes,num_final_static_attributes,num_not_final_not_static_attributes,num_final_not_static_attributes,num_static_not_final_attributes,number_public_visibility_methods,number_private_visibility_methods,number_protected_visibility_methods,number_package_visibility_methods,number_final_methods,number_abstract_methods,number_not_abstract_not_final_methods,number_static_methods,number_final_static_methods,number_final_not_static_methods,number_not_final_static_methods,number_not_final_not_static_methods,number_standard_design_methods,number_constructor_DefaultConstructor_methods,number_constructor_NotDefaultConstructor_methods,is_god_class
ESII_77577_78001_78009,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_77577_78001_78009,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,FALSE
ESII_77577_78001_78009,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_77978_78022_78302,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_77978_78022_78302,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,TRUE
ESII_77978_78022_78302,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_64909_65930_82889,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_64909_65930_82889,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,TRUE
ESII_64909_65930_82889,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_77879_78547_78549,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,FALSE
ESII_73528_78337_77983_79038,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_73528_78337_77983_79038,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,TRUE
ESII_73528_78337_77983_79038,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_77823_78176_78208,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_72783_78014,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,TRUE
ESII_72783_78014,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,TRUE
ESII_72783_78014,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_77984_77680_73074,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_77984_77680_73074,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,FALSE
ESII_77984_77680_73074,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_77604_77772_77804_78220,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_77604_77772_77804_78220,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,FALSE
ESII_77604_77772_77804_78220,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_68910_65050_60850,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_68910_65050_60850,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,TRUE
ESII_68910_65050_60850,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_65598_77689_78463,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_65598_77689_78463,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,FALSE
ESII_65598_77689_78463,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_69072_69454_73385,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_69072_69454_73385,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,FALSE
ESII_69072_69454_73385,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_72809_73538_77778,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_72809_73538_77778,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,TRUE
ESII_72809_73538_77778,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_77586_77755_77761,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,TRUE
ESII_77586_77755_77761,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII-68676_73501_78011,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,TRUE
ESII-68676_73501_78011,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII-68676_73501_78011,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ES2_77611_77644_78688,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_77868_78057_78971,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_65418_78109_78691,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_65418_78109_78691,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,FALSE
ESII_65418_78109_78691,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_73051_73397,jasml-0.10,com.jasml.helper,IntegerArray,0,1,0,3,0,0,0,2,4,0,1,27,20,0,1,0,3,0,4,0.75,0.666666667,3,1.333333333,1.5,5,33,0,943,34,4,48,1,245,233,6694,0,0,4,0,0,1,1,1,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,1,0,1,FALSE
ESII_73051_73397,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,TRUE
ESII_73051_73397,jasml-0.10,com.jasml.compiler,ConstantPoolGenerator,0,1,0,25,0,11,14,24,6,0,1,312,304,16,1,15,41,0,62,0.701388889,0.923076923,61,2.48,2.541666667,8,100,1,2639,109,4,48,1,245,233,6694,0,0,6,0,0,0,0,0,6,0,0,13,12,0,0,0,0,25,1,0,0,1,24,23,0,1,TRUE
ESII_78167_78530_77974,jasml-0.10,com.jasml.decompiler,JavaClassParser,0,0,0,21,0,44,31,21,17,0,1,569,569,32,1,35,53,0,91,0.911764706,1,91,4.333333333,4.333333333,3,54,0,1422,54,4,48,1,245,233,6694,0,0,0,0,17,0,0,0,17,0,0,1,20,0,0,0,0,21,1,0,0,1,20,21,0,0,TRUE
